coin_id,symbol,current_price_usd,market_cap_usd,total_volume_24h,price_change_24h_pct,price_change_7d_pct,circulating_supply,all_time_high,market_cap_rank
bitcoin,btc,87568,1.74801E+12,51108766827,-0.32237,-2.429943875,19968840,126080,1
ethereum,eth,2934.23,3.5403E+11,27674700473,-0.40294,-3.912670143,120694946.7,4946.05,2
tether,usdt,0.999075,1.86644E+11,84471550366,-0.03362,-0.056425275,1.86827E+11,1.32,3
binancecoin,bnb,853.26,1.17464E+11,1689838366,-1.21343,-1.54980281,137734673.8,1369.99,4
ripple,xrp,1.86,1.12723E+11,2137826576,-0.37165,-3.825496815,60572944636,3.65,5
usd-coin,usdc,0.999704,76036175519,12415524018,-0.05345,-0.010716,76066448384,1.17,6
solana,sol,123.37,69440349516,5571783789,-0.94368,-3.111800021,562780028.7,293.31,7
tron,trx,0.2823,26739139301,580211822,-0.60945,-0.630371394,94692650908,0.431288,8
staked-ether,steth,2933.09,25788203378,25770913,-0.47491,-3.547322727,8792075.8,4932.89,9
dogecoin,doge,0.123544,20753967017,1060077681,-0.65175,-8.081137729,1.68071E+11,0.731578,10
figure-heloc,figr_heloc,1.036,14894631649,11388334,1.5817,1.467006032,14370600516,1.37,11
cardano,ada,0.360088,13200396731,742922620,-2.79142,-4.899070802,36662807451,3.09,12
whitebit,wbt,56.83,12174149834,70960730,1.47406,-2.597599381,214127537,64.11,13
bitcoin-cash,bch,602.83,12050105314,564337875,-4.6806,1.37930689,19973581.15,3785.82,14
wrapped-steth,wsteth,3585.05,11426959128,20379569,-0.5635,-3.60595485,3184553.254,7256.02,15
wrapped-bitcoin,wbtc,87205,10896489756,262417519,-0.56509,-2.251388615,124963.4888,125932,16
wrapped-beacon-eth,wbeth,3186.13,10409631017,10795020,-0.57768,-3.537554485,3264502.518,5330.78,17
usds,usds,0.9995,9442933927,2145215,-0.01422,-0.036083173,9447533353,1.057,18
wrapped-eeth,weeth,3178.16,9037387389,5424032,-0.52876,-3.94118865,2839678.155,5296.78,19
binance-bridged-usdt-bnb-smart-chain,bsc-usd,0.999146,8973979191,1017822902,-0.00181,-0.007701218,8984992892,1.05,20
zcash,zec,535.03,8818725148,812740112,-0.13434,20.21622781,16468268.92,3191.93,21
chainlink,link,12.4,8790743983,479980616,-1.00689,-2.538989979,708099970.5,52.7,22
monero,xmr,442.96,8157101041,94926603,-2.007,-3.873326404,18446744.07,542.33,23
leo-token,leo,8.6,7901126694,636997,1.31635,3.918942439,921765184.9,10.14,24
weth,weth,2930.87,7754864494,87526416,-0.58105,-3.647740977,2642874.433,4950.08,25
stellar,xlm,0.218007,7064131779,116335444,-2.15328,-2.799717097,32385039187,0.875563,26
coinbase-wrapped-btc,cbbtc,87542,6341918800,371475340,-0.35445,-2.283726267,72430.78555,125954,27
ethena-usde,usde,0.998151,6291160576,151515231,-0.05321,-0.057793596,6303178844,1.034,28
hyperliquid,hype,26.24,6254036385,202778815,3.35916,5.625513321,238385316,59.3,29
litecoin,ltc,78.05,5985244088,425054157,-1.86217,-1.407424919,76678889.48,410.26,30
avalanche-2,avax,12.6,5419251770,377851057,-0.78658,1.892285721,429625883.6,144.96,31
sui,sui,1.44,5386639724,670170247,-1.67875,-2.327291253,3736866361,5.35,32
hedera-hashgraph,hbar,0.11365,4851585649,116982567,-2.12827,-1.438340829,42776708614,0.569229,33
canton-network,cc,0.131575,4817669631,54844415,0.85299,46.90444298,36735005636,0.159483,34
shiba-inu,shib,7.30E-06,4306457706,100364913,-0.62784,-0.304425576,5.89244E+14,8.62E-05,35
usdt0,usdt0,0.999106,4272894489,224396956,-0.02002,-0.065304082,4277623455,1.052,36
susds,susds,1.076,4271277988,5860692,-0.44363,-0.949237165,3961575191,1.11,37
dai,dai,0.999647,4233139463,66581450,-0.03217,0.05268715,4239031055,1.22,38
the-open-network,ton,1.66,4067643247,120410261,1.07513,12.83386802,2453177602,8.25,39
world-liberty-financial,wlfi,0.14301,3893588790,81672232,-1.21121,5.355181533,27243802538,0.331336,40
uniswap,uni,6.02,3791709095,436038230,-5.69482,-1.570660774,629855797.4,44.92,41
paypal-usd,pyusd,0.999766,3667535169,60432520,0.01272,-0.011522108,3668130749,1.021,42
crypto-com-chain,cro,0.091927,3550551336,13511329,-1.59114,-5.442755175,38572503231,0.965407,43
ethena-staked-usde,susde,1.21,3457692774,15420681,0.00417,0.113908583,2855282609,1.29,44
mantle,mnt,1.012,3301189850,67007530,-2.20225,-11.51547424,3252944056,2.86,45
usd1-wlfi,usd1,0.999827,3280444962,908406012,-0.05589,0.092866635,3280518178,1.025,46
polkadot,dot,1.85,3052096734,157188384,-1.48061,1.093242321,1650092395,54.98,47
rain,rain,0.00809231,2750225392,56337355,1.60022,12.12606045,3.39617E+11,0.00831038,48
memecore,m,1.45,2497186176,15739356,-7.20942,6.081893119,1718303454,2.96,49
bitget-token,bgb,3.48,2430498952,80238841,0.05264,-1.111559812,699992036,8.45,50
aave,aave,151.23,2293929590,227735617,-2.47536,-1.793996314,15196291.73,661.69,51
tether-gold,xaut,4341.23,2261139676,480135601,-4.18488,-2.057601913,520089.3,4558.78,52
okb,okb,107.5,2256042908,26892084,-0.6522,-3.64220279,21000000,255.5,53
falcon-finance,usdf,0.995591,2160649047,423992,-0.26504,-0.2330358,2168802838,1.075,54
bittensor,tao,221.08,2121768824,80990556,-2.13664,-2.822188259,9597491,757.6,55
near,near,1.52,1960213874,160826194,-3.75492,-2.179650802,1283755620,20.44,56
ethereum-classic,etc,11.99,1858079093,61371966,-2.27105,-3.582937367,154912985.4,167.09,57
binance-peg-weth,weth,2934.06,1774394492,55767496,-0.48734,-3.598548147,605000,4955.78,58
jito-staked-sol,jitosol,154.31,1759449542,15922486,-0.97923,-3.409099036,11392130.65,339.52,59
blackrock-usd-institutional-digital-liquidity-fund,buidl,1,1734638456,0,0,0,1734638456,1,60
pepe,pepe,4.09E-06,1720527524,239535849,-2.75599,1.340620292,4.2069E+14,2.80E-05,61
pi-network,pi,0.202508,1696403048,10070192,-1.22116,-1.901077572,8374886024,2.99,62
aster-2,aster,0.698956,1660132751,145738676,-3.6891,-2.015814244,2375039672,2.41,63
midnight-3,night,0.0985,1629303676,97840212,13.56738,-2.180013307,16607399401,0.118529,64
internet-computer,icp,2.97,1615268853,73624218,-3.88165,-3.414848346,546025285.5,700.65,65
ethena,ena,0.209699,1614519619,142416649,-0.22609,-0.328059546,7690625000,1.52,66
pax-gold,paxg,4351.06,1589992424,359781014,-4.42404,-2.281491008,364964.829,4573.52,67
hash-2,hash,0.02952646,1560042129,15901.19,-4.09256,-4.963849396,52835390559,0.060147,68
hashnote-usyc,usyc,1.11,1537342376,6661.09,-0.00047,-0.070789647,1384766841,1.12,69
wrapped-solana,sol,123.33,1534693078,563627999,-0.96364,-3.321347706,12441890.59,290.3,70
global-dollar,usdg,0.999634,1533901703,23007776,0.00018,-0.000217642,1534448697,1.65,71
htx-dao,htx,1.65E-06,1533623980,14514173,-0.43618,-0.411784124,9.30149E+14,3.75E-06,72
jupiter-perpetuals-liquidity-provider-token,jlp,4.49,1474758732,57945442,-0.47122,-1.791765426,328074141.2,5.99,73
syrupusdc,syrupusdc,1.14,1461048818,5295870,0.01494,0.093352196,1277426249,1.15,74
sky,sky,0.061958,1427514080,12939314,-2.91499,-8.425146571,22965682155,0.100535,75
kucoin-shares,kcs,10.71,1390346190,2476291,-1.16106,-2.055859592,129675261.7,28.83,76
ripple-usd,rlusd,0.999657,1357569299,67889607,-0.01774,-0.026504044,1358011174,1.073,77
bfusd,bfusd,0.998801,1318206673,13218583,-0.02906,-0.021507408,1320000000,1.007,78
